formula,elements,formation_energy,decomposition_energy,band_gap,density,dimensionality,delta_hull
Lu7Sn23Ir6,"['Sn', 'Lu', 'Ir']",-0.4935,-0.0248,inf,10.1052,3D,0.0248
NdPaPdPtF14,"['F', 'Pd', 'Nd', 'Pt', 'Pa']",-2.9932,-1.0127,,5.3786,3D,1.0127
Dy3BiSbRh3O14,"['O', 'Rh', 'Sb', 'Dy', 'Bi']",-2.3942,-0.0233,,8.1789,3D,0.0233
DyY19(Ir3Pt)3,"['Y', 'Dy', 'Ir', 'Pt']",-0.8481,-0.0095,,8.9765,3D,0.0095
Mn6In5SnRh12,"['Mn', 'Rh', 'In', 'Sn']",-0.3578,-0.01,0.0043,9.9569,3D,0.01
Rb3La(AsO4)2,"['O', 'As', 'Rb', 'La']",-2.3964,-0.2923,3.7052,4.0983,intercalated ion,0.2923
Y8Ho12FeCo3Bi8,"['Fe', 'Co', 'Y', 'Ho', 'Bi']",-0.5569,-0.0131,,8.6255,3D,0.0131
Tb2Dy3Cr2O12,"['O', 'Cr', 'Tb', 'Dy']",-3.328,-0.0052,0.0027,7.3803,3D,0.0052
Sc2GaIr3Pt2,"['Sc', 'Ga', 'Ir', 'Pt']",-0.8833,-0.031,0.0221,14.9475,3D,0.031
Y9MgAl3Ru,"['Mg', 'Al', 'Y', 'Ru']",-0.3225,-0.0146,0.0075,4.526,intercalated ion,0.0146
Tb4Pr15HoPb16,"['Pr', 'Tb', 'Ho', 'Pb']",-0.5866,-0.0197,0.0064,8.8313,3D,0.0197
LaBe(PdPt)2,"['Be', 'Pd', 'La', 'Pt']",-0.843,-0.0365,,11.8937,,0.0365
LiHf5AlAs5Ru6,"['Li', 'Al', 'As', 'Ru', 'Hf']",-0.7948,-0.0226,0.0017,10.8687,intercalated ion,0.0226
Dy4YSn3,"['Y', 'Sn', 'Dy']",-0.7311,-0.001,0.0038,7.9259,3D,0.001
CaS2O7,"['O', 'S', 'Ca']",-2.2898,-0.0274,5.5326,2.0702,intercalated ion,0.0274
Li6PaO6,"['Li', 'O', 'Pa']",-2.6621,-0.1696,0.004,3.9255,intercalated ion,0.1696
Tb5Dy11Tl3In3Co2,"['Co', 'In', 'Tb', 'Dy', 'Tl']",-0.317,-0.0185,0.1483,9.1458,3D,0.0185
DyFeCuSi,"['Si', 'Fe', 'Cu', 'Dy']",-0.512,-0.0054,0.0017,7.8247,3D,0.0054
RbBa2IO6,"['O', 'Rb', 'I', 'Ba']",-2.128,-0.0352,2.5008,5.3553,intercalated ion,0.0352
Er3Al6Fe3Si6Ru,"['Al', 'Si', 'Fe', 'Ru', 'Er']",-0.5845,-0.0055,0.0006,6.4494,3D,0.0055
Zr6Si12RuRh5,"['Si', 'Zr', 'Ru', 'Rh']",-0.8738,-0.0227,0.0082,6.6506,3D,0.0227
Hf9Ta3AsW,"['As', 'Hf', 'Ta', 'W']",-0.2159,-0.0138,0.0015,13.5831,3D,0.0138
Dy6MgCo14(NiP4)3,"['Mg', 'P', 'Co', 'Ni', 'Dy']",-0.9525,-0.017,inf,8.1073,3D,0.017
Ho2Al9PdPtRh,"['Al', 'Rh', 'Pd', 'Ho', 'Pt']",-0.8114,-0.0504,0.0062,6.8537,3D,0.0504
Sc6Ti4Al12Ir6Rh,"['Al', 'Sc', 'Ti', 'Rh', 'Ir']",-0.8997,-0.1019,0.0013,7.0148,3D,0.1019
Th2Zn16Ag,"['Zn', 'Ag', 'Th']",-0.2293,-0.0107,0.0183,8.4178,3D,0.0107
Pr8Ti3VO20,"['O', 'Ti', 'V', 'Pr']",-3.6609,-0.0017,1.863,5.5343,3D,0.0017
Ac11SmGa12,"['Ga', 'Sm', 'Ac']",-0.5167,-0.1357,,7.9221,3D,0.1357
DyYTiO5,"['O', 'Ti', 'Y', 'Dy']",-3.8748,-0.0005,,5.733,,0.0005
AcNd3(Zn5Si)2,"['Si', 'Zn', 'Nd', 'Ac']",-0.437,-0.0494,0.0011,7.0335,3D,0.0494
LiCaCo4As3,"['Li', 'Ca', 'Co', 'As']",-0.5222,-0.0151,0.0034,6.5809,intercalated ion,0.0151
Tb3Y3(Tm3Ru2)2,"['Y', 'Ru', 'Tb', 'Tm']",-0.3402,-0.0009,0.0006,8.5857,3D,0.0009
Dy12TlCo5,"['Co', 'Dy', 'Tl']",-0.2299,-0.0409,,9.2318,3D,0.0409
